quantity,bootstrap_mean,ci_low,ci_high,ci_low_first_half,ci_high_first_half
difference|tsmini|most_frequent_personal_destination|0.50,0.014490516705687054,-0.04978422011472184,0.07875206074204942,-0.04947941319715776,0.07655882116416594
difference|tsmini|most_frequent_personal_destination|0.66,0.030609587282104753,-0.03324138597546746,0.09520937009906345,-0.032585179905977334,0.09385347975849324
difference|tsmini|most_frequent_personal_destination|0.75,0.043524151454052924,-0.019229529694841062,0.10776996000801782,-0.018507449025856885,0.1059234063521978
primary_mean_difference|tsmini|most_frequent_personal_destination,0.02177596568782357,-0.039888333402139695,0.08329470137775358,-0.038512009722497395,0.08189227801446848
interaction75_25|tsmini|most_frequent_personal_destination,0.04504454414460338,0.021470745386042597,0.07029714191796153,0.02152756556554471,0.07021156661382565
difference|tsmini|nearest_known_destination_to_current_point|0.25,0.27876256833279656,0.20605207073618653,0.35084064068179716,0.20760158767830972,0.3515350459651283
difference|tsmini|nearest_known_destination_to_current_point|0.50,0.2359707345589431,0.16478124673653594,0.3087500752882148,0.1668445001688705,0.30875398557315337
difference|tsmini|nearest_known_destination_to_current_point|0.66,0.1870321466798405,0.11265844465533016,0.26163290261282973,0.11404136140670296,0.2621427565660886
difference|tsmini|nearest_known_destination_to_current_point|0.75,0.1663482269255075,0.09728872189098753,0.23801288009088178,0.09953769442682156,0.239126553522237
primary_mean_difference|tsmini|nearest_known_destination_to_current_point,0.21702841912427193,0.15208181588706973,0.28317190523238606,0.15287902234005604,0.28340384403790714
interaction75_25|tsmini|nearest_known_destination_to_current_point,-0.11241434140728909,-0.18128745311369485,-0.050546756609426764,-0.18126723067622116,-0.05042813300196154
difference|tsmini|last_observed_point|0.25,0.27876256833279656,0.20605207073618653,0.35084064068179716,0.20760158767830972,0.3515350459651283
difference|tsmini|last_observed_point|0.50,0.2359707345589431,0.16478124673653594,0.3087500752882148,0.1668445001688705,0.30875398557315337
