catalog_eps_m,method,seed,ratio,user_id,n,coverage_r80,coverage_r90,coverage_r95,hit_r80,hit_r90,hit_r95,hit_fixed_200m,within_200m,within_1000m,median_error_m,p90_error_m,native_within_200m,native_within_1000m,native_median_error_m,native_p90_error_m,median_query_runtime_ms
100.0,recurrent,20260723,0.5,38,26,0.2692307692307692,0.4230769230769231,0.4230769230769231,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.46153846153846156,2942.5427630301992,10294.928768593025,0.3076923076923077,0.46153846153846156,2938.005336561913,10298.212823645878,
100.0,recurrent,20260723,0.5,39,56,0.5535714285714286,0.6428571428571429,0.6428571428571429,0.2857142857142857,0.3392857142857143,0.3392857142857143,0.39285714285714285,0.39285714285714285,0.5178571428571429,952.4079196646279,19916.432277987682,0.39285714285714285,0.5178571428571429,952.4079196646279,19916.432277987682,
100.0,recurrent,20260723,0.5,51,11,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.6363636363636364,510.5752759746997,3301.313995536748,0.36363636363636365,0.6363636363636364,510.5752759746997,3301.313995536748,
100.0,recurrent,20260723,0.5,52,25,0.28,0.36,0.44,0.08,0.12,0.12,0.12,0.12,0.12,4367.911529162018,9344.686886103134,0.12,0.12,4373.881460873552,9344.686886103134,
100.0,recurrent,20260723,0.5,62,145,0.4896551724137931,0.5379310344827586,0.5517241379310345,0.35172413793103446,0.36551724137931035,0.3724137931034483,0.35172413793103446,0.3586206896551724,0.6620689655172414,449.81910761840675,11162.002426793711,0.3586206896551724,0.6620689655172414,441.5371950036267,11157.10575187437,
100.0,recurrent,20260723,0.5,65,30,0.5666666666666667,0.6,0.6666666666666666,0.5,0.5333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,84.28572551471889,2898.176318414745,0.6666666666666666,0.6666666666666666,84.28572551471889,2898.176318414745,
100.0,recurrent,20260723,0.5,68,99,0.45454545454545453,0.5555555555555556,0.6060606060606061,0.2828282828282828,0.3434343434343434,0.37373737373737376,0.36363636363636365,0.37373737373737376,0.48484848484848486,2770.996396783754,18154.12728953205,0.37373737373737376,0.48484848484848486,2770.996396783754,18154.12728953205,
100.0,recurrent,20260723,0.5,71,18,0.5,0.5,0.6111111111111112,0.2777777777777778,0.2777777777777778,0.3888888888888889,0.5,0.5,0.5555555555555556,245.06679726463886,2496.116164841627,0.5,0.5555555555555556,245.06679726463886,2496.116164841627,
100.0,recurrent,20260723,0.5,85,104,0.5192307692307693,0.5480769230769231,0.5673076923076923,0.2692307692307692,0.28846153846153844,0.3076923076923077,0.3269230769230769,0.3269230769230769,0.4326923076923077,4793.7708707001175,11868.114534889628,0.3269230769230769,0.4326923076923077,4793.7708707001175,11868.114534889628,
100.0,recurrent,20260723,0.5,88,12,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.6666666666666666,382.9784155480728,3559.017881204667,0.4166666666666667,0.6666666666666666,356.6008687740358,3561.0461354852205,
100.0,recurrent,20260723,0.5,89,15,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,39.11657399283309,81998.25359175011,0.6,0.6,39.11657399283309,81998.25359175011,
100.0,recurrent,20260723,0.5,91,23,0.391304347826087,0.391304347826087,0.5217391304347826,0.391304347826087,0.391304347826087,0.4782608695652174,0.6086956521739131,0.6086956521739131,0.6086956521739131,142.59575754267476,10584.97874799668,0.6086956521739131,0.6086956521739131,142.59575754267476,10584.97874799668,
100.0,recurrent,20260723,0.5,92,36,0.3055555555555556,0.3611111111111111,0.3611111111111111,0.2222222222222222,0.2777777777777778,0.2777777777777778,0.3055555555555556,0.3055555555555556,0.4166666666666667,2633.747632288534,10992.782066845539,0.3055555555555556,0.4166666666666667,2633.747632288534,11003.262868120615,
100.0,recurrent,20260723,0.5,96,27,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5555555555555556,0.5555555555555556,0.5925925925925926,50.40964669377852,9007.588911695591,0.5555555555555556,0.5925925925925926,75.59991410149136,9032.19707839526,
100.0,recurrent,20260723,0.5,101,16,0.25,0.3125,0.4375,0.25,0.3125,0.4375,0.4375,0.5,0.6875,201.78806037565835,4846.137604805961,0.5,0.6875,199.9534729547179,4847.327419486684,
100.0,recurrent,20260723,0.5,103,12,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.25,0.3333333333333333,0.5,0.5,0.75,181.14402696077337,7160.985576406261,0.5,0.75,181.14402696077337,7158.418192941976,
