analysis,destination_popularity_stratum,prefix_familiarity,ratio,method,user_macro_hit_r90,user_macro_within_200m,user_macro_within_1000m,mean_user_median_error_m,users,user_case_sum
joint_familiarity,other_repeated,no_close_analogue,0.66,current_position_only_personal_retrieval,0.24583333333333335,0.28750000000000003,0.28750000000000003,6229.459926298048,12,27
joint_familiarity,other_repeated,no_close_analogue,0.66,geometric_retrieval,0.09583333333333333,0.09583333333333333,0.15416666666666667,5787.441898739112,12,27
joint_familiarity,other_repeated,no_close_analogue,0.66,most_frequent_personal_destination,0.0,0.0,0.13333333333333333,4574.788656072665,12,27
joint_familiarity,other_repeated,no_close_analogue,0.66,probabilistic_grid_pattern_retrieval,0.2125,0.25416666666666665,0.25416666666666665,5157.792843425887,12,27
joint_familiarity,other_repeated,no_close_analogue,0.66,tsmini,0.14250000000000002,0.15083333333333335,0.2466666666666667,51522.75886182908,12,27
joint_familiarity,other_repeated,no_close_analogue,0.75,bigru,0.29090909090909095,0.3090909090909091,0.43636363636363634,32102.77086207079,11,22
joint_familiarity,other_repeated,no_close_analogue,0.75,current_position_only_personal_retrieval,0.5227272727272727,0.5681818181818182,0.6818181818181818,3580.135051221264,11,22
joint_familiarity,other_repeated,no_close_analogue,0.75,geometric_retrieval,0.10909090909090909,0.10909090909090909,0.2,6622.745559994176,11,22
joint_familiarity,other_repeated,no_close_analogue,0.75,most_frequent_personal_destination,0.0,0.0,0.11363636363636363,5838.240592493075,11,22
joint_familiarity,other_repeated,no_close_analogue,0.75,probabilistic_grid_pattern_retrieval,0.29090909090909095,0.33636363636363636,0.33636363636363636,5903.430271833234,11,22
joint_familiarity,other_repeated,no_close_analogue,0.75,tsmini,0.18363636363636363,0.18363636363636363,0.3290909090909091,84632.78974556144,11,22
joint_familiarity,outside_training_r90,analogue_present,0.25,bigru,0.0,0.10861868905799726,0.3162046952513039,4888.536557008586,36,451
joint_familiarity,outside_training_r90,analogue_present,0.25,current_position_only_personal_retrieval,0.0,0.12841045798547313,0.3110817068801215,5265.8878686514345,36,451
joint_familiarity,outside_training_r90,analogue_present,0.25,geometric_retrieval,0.0,0.14179270587694665,0.34475056331440446,4455.037848402481,36,451
joint_familiarity,outside_training_r90,analogue_present,0.25,most_frequent_personal_destination,0.0,0.09424905828414601,0.25677866139971584,5694.661482736078,36,451
joint_familiarity,outside_training_r90,analogue_present,0.25,probabilistic_grid_pattern_retrieval,0.0,0.15029426872132648,0.3513125766746634,5164.9274876046065,36,451
joint_familiarity,outside_training_r90,analogue_present,0.25,tsmini,0.0,0.1313833093255089,0.3201518030667349,5750.0870762728955,36,451
joint_familiarity,outside_training_r90,analogue_present,0.5,bigru,0.0,0.13956930895043085,0.3652873707380669,4219.881409671084,35,445
joint_familiarity,outside_training_r90,analogue_present,0.5,current_position_only_personal_retrieval,0.0,0.16340892081141814,0.3615413402121563,4743.563659089043,35,445
joint_familiarity,outside_training_r90,analogue_present,0.5,geometric_retrieval,0.0,0.1752707887338416,0.39819565853628874,3963.501326973281,35,445
joint_familiarity,outside_training_r90,analogue_present,0.5,most_frequent_personal_destination,0.0,0.09672056840210601,0.26471066537504345,5325.232713004346,35,445
joint_familiarity,outside_training_r90,analogue_present,0.5,probabilistic_grid_pattern_retrieval,0.0,0.16289404539436533,0.4019585474696088,3791.1805260675683,35,445
joint_familiarity,outside_training_r90,analogue_present,0.5,tsmini,0.0,0.1632551961563776,0.3734634594106448,5358.766752875251,35,445
joint_familiarity,outside_training_r90,analogue_present,0.66,bigru,0.0,0.1646016108802868,0.41343567171761436,3706.3550619203475,35,436
joint_familiarity,outside_training_r90,analogue_present,0.66,current_position_only_personal_retrieval,0.0,0.17834314730126774,0.4069307154943507,3479.0263332260843,35,436
joint_familiarity,outside_training_r90,analogue_present,0.66,geometric_retrieval,0.0,0.1955266099180144,0.4488787115106641,3017.809418487799,35,436
joint_familiarity,outside_training_r90,analogue_present,0.66,most_frequent_personal_destination,0.0,0.10188742163532079,0.2684617351617459,5221.930186981848,35,436
joint_familiarity,outside_training_r90,analogue_present,0.66,probabilistic_grid_pattern_retrieval,0.0,0.16921081318189707,0.40913417461544627,2998.3111317554153,35,436
joint_familiarity,outside_training_r90,analogue_present,0.66,tsmini,0.0,0.18505128805303125,0.41489567295111074,4146.211397190971,35,436
joint_familiarity,outside_training_r90,analogue_present,0.75,bigru,0.0,0.17557659574602794,0.43686620152150923,3520.5221186800154,35,422
joint_familiarity,outside_training_r90,analogue_present,0.75,current_position_only_personal_retrieval,0.0,0.18211801924920928,0.4351039301743273,2809.487355233318,35,422
joint_familiarity,outside_training_r90,analogue_present,0.75,geometric_retrieval,0.0,0.1964651175747883,0.4587386865106652,2811.7669952771844,35,422
joint_familiarity,outside_training_r90,analogue_present,0.75,most_frequent_personal_destination,0.0,0.10168672597244026,0.2735482473585978,5089.822570559907,35,422
joint_familiarity,outside_training_r90,analogue_present,0.75,probabilistic_grid_pattern_retrieval,0.0,0.1773928592796884,0.4217086395729123,2816.007995884731,35,422
joint_familiarity,outside_training_r90,analogue_present,0.75,tsmini,0.0,0.1938102340289273,0.4439869722799235,3726.526093869964,35,422
joint_familiarity,outside_training_r90,no_close_analogue,0.25,bigru,0.0,0.022806297352576842,0.049426419085480525,212058.65311331145,28,127
joint_familiarity,outside_training_r90,no_close_analogue,0.25,current_position_only_personal_retrieval,0.0,0.013888888888888886,0.04949874686716792,163116.98311509364,28,127
joint_familiarity,outside_training_r90,no_close_analogue,0.25,geometric_retrieval,0.0,0.03164160401002506,0.048648406731113494,183761.38704750632,28,127
joint_familiarity,outside_training_r90,no_close_analogue,0.25,most_frequent_personal_destination,0.0,0.03936925647451963,0.08185642678123882,200487.8907059664,28,127
joint_familiarity,outside_training_r90,no_close_analogue,0.25,probabilistic_grid_pattern_retrieval,0.0,0.03475283035174142,0.04881405072615858,182223.98792756296,28,127
joint_familiarity,outside_training_r90,no_close_analogue,0.25,tsmini,0.0,0.026248811684383373,0.04714032618492043,254991.70343531817,28,127
joint_familiarity,outside_training_r90,no_close_analogue,0.5,bigru,0.0,0.07262874380521439,0.12118455074337428,162483.22157543577,26,133
joint_familiarity,outside_training_r90,no_close_analogue,0.5,current_position_only_personal_retrieval,0.0,0.07421353156647274,0.08520254255548373,150362.66469514876,26,133
joint_familiarity,outside_training_r90,no_close_analogue,0.5,geometric_retrieval,0.0,0.05647489765136823,0.11557853910795088,160328.30130411565,26,133
joint_familiarity,outside_training_r90,no_close_analogue,0.5,most_frequent_personal_destination,0.0,0.07668605903900022,0.09627504848093084,181051.91951680512,26,133
joint_familiarity,outside_training_r90,no_close_analogue,0.5,probabilistic_grid_pattern_retrieval,0.0,0.07698771816418876,0.12902122387416506,163992.4237332118,26,133
joint_familiarity,outside_training_r90,no_close_analogue,0.5,tsmini,0.0,0.07422753716871364,0.1261516914458091,184564.3114750048,26,133
joint_familiarity,outside_training_r90,no_close_analogue,0.66,bigru,0.0,0.04789940828402366,0.09509413663259816,163781.8219851133,26,142
