analysis,requested_k,ambiguity_stratum,ratio,method,user_macro_hit_r90,user_macro_within_200m,user_macro_within_1000m,mean_user_median_error_m,users,user_case_sum
location_ambiguity,20,low,0.25,geometric_retrieval,0.4453175782125204,0.4962198205424476,0.6323008454564819,1635.6622743649439,26,383
location_ambiguity,20,low,0.25,most_frequent_personal_destination,0.3915089999899037,0.4458268508341237,0.5207714158061788,3500.59263114562,26,383
location_ambiguity,20,low,0.25,probabilistic_grid_pattern_retrieval,0.4828892459248055,0.5376330414383912,0.6152426454874287,1611.6823710606463,26,383
location_ambiguity,20,low,0.25,tsmini,0.4128151009053687,0.469415946702929,0.570446193810788,10025.194031155881,26,383
location_ambiguity,20,low,0.5,recurrent,0.6180800195709846,0.647493303799336,0.7626901601303115,789.9472138848325,26,410
location_ambiguity,20,low,0.5,current_position_only_personal_retrieval,0.525946860671123,0.5587508820545136,0.7090144628167621,1570.5942317428332,26,410
location_ambiguity,20,low,0.5,geometric_retrieval,0.594815488300426,0.6383533517319611,0.7837374881759824,725.4401450277481,26,410
location_ambiguity,20,low,0.5,most_frequent_personal_destination,0.47160668706922404,0.5014424810278655,0.6227554184163936,2829.522439834662,26,410
location_ambiguity,20,low,0.5,probabilistic_grid_pattern_retrieval,0.6462575946543224,0.677295495049624,0.7978535214321167,735.1969623565438,26,410
location_ambiguity,20,low,0.5,tsmini,0.5946227564385793,0.6326964065807246,0.7658683415592259,872.7753179544451,26,410
location_ambiguity,20,low,0.66,recurrent,0.6336551000847186,0.6894964028287295,0.7827459644313036,1143.1822034995205,26,494
location_ambiguity,20,low,0.66,current_position_only_personal_retrieval,0.5835363260270374,0.6197929894678389,0.7490939724159519,1077.3179765573843,26,494
location_ambiguity,20,low,0.66,geometric_retrieval,0.5793557693715126,0.639758622536207,0.7589821822417316,2060.5036084879234,26,494
location_ambiguity,20,low,0.66,most_frequent_personal_destination,0.47513588983390814,0.5229480799107974,0.606589573916538,2139.4087953023704,26,494
location_ambiguity,20,low,0.66,probabilistic_grid_pattern_retrieval,0.5972680159193074,0.6523184428724424,0.7481049680979529,2080.9746538282952,26,494
location_ambiguity,20,low,0.66,tsmini,0.5817245975625648,0.6391019861633331,0.7600013034195399,1910.185656574424,26,494
location_ambiguity,20,low,0.75,recurrent,0.62431858020096,0.6734929571115051,0.7846346844529889,821.7225910017106,24,461
location_ambiguity,20,low,0.75,current_position_only_personal_retrieval,0.6025139705710275,0.6654823052802497,0.8036933317589382,1198.019834741589,24,461
location_ambiguity,20,low,0.75,geometric_retrieval,0.6003789435949888,0.6539597162792125,0.794324047274377,976.4092469583615,24,461
location_ambiguity,20,low,0.75,most_frequent_personal_destination,0.4578867793894333,0.4972839571894497,0.613265453141194,1927.6112459194512,24,461
location_ambiguity,20,low,0.75,probabilistic_grid_pattern_retrieval,0.6266969966001864,0.6744068162520342,0.7683653777961208,801.7086940323478,24,461
location_ambiguity,20,low,0.75,tsmini,0.5837759291389831,0.6353134010760167,0.7762435875786755,1057.6368523715425,24,461
location_ambiguity,20,medium,0.25,recurrent,0.40337342237734863,0.4401945008190105,0.535010383956241,2233.371883147917,29,459
location_ambiguity,20,medium,0.25,current_position_only_personal_retrieval,0.33310907562938835,0.3858158169436726,0.4903309462697548,2972.452629492423,29,459
location_ambiguity,20,medium,0.25,geometric_retrieval,0.43112008757092873,0.48100978924623283,0.5954836417239464,1678.6816851350175,29,459
location_ambiguity,20,medium,0.25,most_frequent_personal_destination,0.3673898001141033,0.3942213177539753,0.4829575856659355,2712.9777548345473,29,459
location_ambiguity,20,medium,0.25,probabilistic_grid_pattern_retrieval,0.4635676060908794,0.5184235445360189,0.6004818121412319,1403.4652590845508,29,459
location_ambiguity,20,medium,0.25,tsmini,0.36896373587441933,0.4236280835647107,0.5518691517085054,2768.2389750568914,29,459
location_ambiguity,20,medium,0.5,recurrent,0.40834800800504395,0.4556646078270653,0.5585641499933331,1957.4207609538187,32,468
location_ambiguity,20,medium,0.5,current_position_only_personal_retrieval,0.3584630825357103,0.4114476602132095,0.5467964872610578,2185.5499390357663,32,468
location_ambiguity,20,medium,0.5,geometric_retrieval,0.43934710973326496,0.4896375216731202,0.615401518492894,1243.7013939217836,32,468
location_ambiguity,20,medium,0.5,most_frequent_personal_destination,0.35702749572388776,0.3870864206949679,0.46095264566054567,2593.884656211911,32,468
location_ambiguity,20,medium,0.5,probabilistic_grid_pattern_retrieval,0.43936871784185605,0.48819181434516223,0.59307430621464,1280.4360137485407,32,468
location_ambiguity,20,medium,0.5,tsmini,0.4174369741923619,0.4676197975567601,0.6009595976447796,1822.2202130910403,32,468
location_ambiguity,20,medium,0.66,recurrent,0.38374710827470765,0.42431478914926707,0.5370594222201702,2601.67800789992,32,420
location_ambiguity,20,medium,0.66,current_position_only_personal_retrieval,0.35583982798030867,0.4346231773332691,0.5464330768993915,1885.6672403106365,32,420
location_ambiguity,20,medium,0.66,geometric_retrieval,0.35326255912213844,0.3934998019502672,0.5431334695446571,1834.2080964026939,32,420
